,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
200,CIBAGAIEDMSDICACAYEAWGQ4EEWTCOQCAEAQIHYCAIDAIFABAEBAMHI,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,84
201,CIAQIAQGAULC2PQDAUAQGCYYFIWDOBQCAYAQQFI3EY5ACAQDBABACAQGEABQCAYNCYZQ,Bilgewater,Noxus,Miss Fortune,Katarina,Gangplank,None,84
202,CIBQCAIBCYBQEAICAYDQOAQGAUFRKFRNHI7ACAQCAYKBYAQBAEAQIAQCAYEBC,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,84
203,CIBQIAIBAMERQMQFAECRIHJAFAYQCAQBA4BACAIBBMCACBIBB4VTMAA,Freljord,Shadow Isles,Braum,Anivia,None,None,83
204,CIBQCAIFAMEACAYCBAHRIHRFEYUAGAQDAMCAKAICAEBQYLYA,Shadow Isles,Noxus,Draven,Darius,None,None,83
205,CIBQEAIFDUUACAQFBICQEBQ5EUTS6OADAMBAMKJMGUBACBIZGYBAEBIHBABACAIFGQAQEBID,Shadow Isles,Bilgewater,Nautilus,Maokai,Thresh,None,83
206,CIBQIAIFCQPDCNAEAEAQGBAWGIAQEAIHAIAQCAI6AUAQKBY5EAUC4AIBAEAQU,Shadow Isles,Freljord,Kalista,Thresh,None,None,81
207,CIBQCAICBEDQCAAPCULBUHJGFMBAEAAJBIBQCAQAA4BQCAQCGE4QCAQCBAAA,Ionia,Demacia,Zed,Lucian,None,None,81
208,CIBAIAIEBYIB6OAFAEAA6IJIFIYAEAQBAQNTCBABAALRUJJJAEAQCABS,Piltover & Zaun,Demacia,Heimerdinger,Lux,None,None,81
209,CIBQCAIDG4BQEAYBAMDQMAIFCQOSQKZVHAAQIAIFB4YTENQCAEAQGEYBAECQC,Noxus,Shadow Isles,Swain,Elise,None,None,81
210,CIBQEAIEBATQQAICAYEQYEIXEYYDEAICAIFAGAIBAQ2ACAICGEAQEAQFAEAQCAQV,Piltover & Zaun,Ionia,Teemo,Zed,None,None,80
211,CIBQEAIDAQQQQAIBAMDQWFQ6EYUTAAICAEBAEAQBAECCUAICAEDQCAIBAM2Q,Noxus,Freljord,Ashe,Sejuani,None,None,80
212,CICACAICB4AQEAQFAIAQGLRXAMBAGAIHBEBQEAIDEQ3AKAICAIGCKLRYAIBAEAQJAEAQCARR,Ionia,Noxus,Yasuo,Swain,None,None,80
213,CIBAKAIBBMLB4JRQAUAQGBAYDIPSCAYBAEBTKAQBAECCUAICAEBAEAIBAMZQCAQBA4,Freljord,Noxus,Ashe,Sejuani,None,None,78
214,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAIBAM2QIAIBAQDR4KQBAIAQEAIBAEBTG,Noxus,Freljord,Ashe,Sejuani,None,None,78
215,CIBAKAIEAENR6JBUAUAQKAYUFAXTCAYBAECDUAQBAUASWAICAQDAEAIBAQPACAIFB4,Piltover & Zaun,Shadow Isles,Ezreal,None,None,None,78
216,CIBAGAIFDUUDIBACAYCCAIRNAIBQEBQCBATAKAIFAEKCWMJWAMAQEBQMAEAQKEYBAICQC,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,78
217,CIBAEAQBAIDQWAQGAUEAWDIUCULBYIJ2HYAACAICAYIQ,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,78
